$	~[,SI^F][,DOL^R]
0	~[,O]
1	~[,E]
2	~[,R]
3	~[,S]
4	~[,F]
5	~[,W]
6	~[,L]
7	~[,C]
8	~[,B]
9	~[,K]
¢	~[,CI^R][,CP^V][,CEN]
£	~[,LE^S][,POU]
¤	~[,BOB]
¥	~[,YR^V][,YEN^V]
§	~[,SS]
¨	~[..^8][,..]
©	~[,OC^8]
«	~[[[^6][,[[^6][,,,^V]
®	~[,OR^7]
°	~[,O^6]
±	~[,JE][,YE]
µ	~[,U^5][,MU^V][,MIC][,MUE^R]
·	~['^6][,.^8]
»	~[]]^6][,]]^6][,..^R]
¼	~[,EPF]
½	~[,EPR]
¾	~[,SPF]
×	~[,X^V][..^F][,XX]
à	~[,NA^R]
á	~[,PA^S]
è	~[,NE]
é	~[,PE^S]
ê	~[,NE^V]
ì	~[,NI]
í	~[,PI^5]
ò	~[,NO^V]
ó	~[,PO^V]
÷	~[..^5][,M]
ù	~[,NU^S]
ú	~[,PU^V]
ü	~[,BU][,..U]
ā	~[,EA]
ē	~[,EE^7]
ě	~[,VE^F]
ī	~[,EI^6]
ń	~[,PN]
ň	~[,VN]
ō	~[,EO]
ū	~[,EU]
ǎ	~[,VA^V]
ǐ	~[,VI^S]
ǒ	~[,VO]
ǔ	~[,VU]
ǘ	~[,P..]
ǚ	~[,V..]
ǜ	~[,N..]
ɑ	~[,A^6]
ɡ	~[,G^8]
ˆ	~[,G^S][,GV^6][,[V^6][,EI^V]
ˇ	~[,V^V][,SY][,SS^V]
ˉ	~[,EE^F]
ˊ	~[,RS][,RY]
ˋ	~[,FS][,FY]
˙	~[,CS][,CY][,ES][,EY]
Α	~[,ALP]
Β	~[,BET]
Γ	~[,GAM]
Δ	~[,SN^5][,DEL]
Ε	~[,EPS^V]
Ζ	~[,ZET]
Η	~[,ETA]
Θ	~[,OE^5][,THE]
Ι	~[,IOT]
Κ	~[,KAP]
Λ	~[,LAM]
Μ	~[,MU^R]
Ν	~[,NU^V]
Ξ	~[,XI^F]
Ο	~[,OMI^V]
Π	~[,PI^F]
Ρ	~[,RHO]
Σ	~[,E^7][,SM][,SIG]
Τ	~[,TAU]
Υ	~[,UPS]
Φ	~[,PHI]
Χ	~[,CHI^R]
Ψ	~[,VI][,PSI]
Ω	~[,O^F][,OMG]
α	~[,A]
β	~[,B^R]
γ	~[,G^R]
δ	~[,D^V]
ε	~[,E^6]
ζ	~[,US][,ZET^V]
η	~[,N^S][,ETA^V]
θ	~[,Q^V][,TH]
ι	~[,IOT^V]
κ	~[,K^S][,KAP^V]
λ	~[,L^S]
μ	~[,U^S][,MU][,MUE]
ν	~[,V^S][,NU^R]
ξ	~[,ES^V]
ο	~[,O^8][,OMI^R]
π	~[,PI][,ER^V]
ρ	~[,RHO^V]
σ	~[,SIG^V]
τ	~[,EL^V]
υ	~[,U^F][,UPS^V]
φ	~[,OP][,PO][,PHI^V]
χ	~[,X^5][,CHI^S]
ψ	~[,PU][,PSI^V]
ω	~[,O^5][,W^S]
Ё	~[,IO][,BE^S][,..E]
А	~[,A^F]
Б	~[,BE^V]
В	~[,VE^R]
Д	~[,DE^S]
Е	~[,IE]
Ж	~[,ZHE]
З	~[,ZE^V]
И	~[,N^F]
Й	~[,SII]
К	~[,KA^R]
Л	~[,EL^R]
М	~[,EM]
Н	~[,EN^V]
О	~[,O^10]
П	~[,PE^V]
Р	~[,ER^S]
С	~[,ES^R]
Т	~[,TE]
У	~[,U^6]
Ф	~[,EF^9]
Х	~[,KHA]
Ц	~[,TSE]
Ч	~[,CHE^R]
Ш	~[,SHA]
Щ	~[,SHE^V]
Ъ	~[,SIG^R]
Ы	~[,YER]
Ь	~[,B^9][,SSI]
Э	~[,E^20][,RE^S]
Ю	~[,IU^V]
Я	~[,IA]
а	~[,A^5]
б	~[,BE^R]
в	~[,VE^S]
д	~[,DE^F]
е	~[,IE^V]
ж	~[,ZHE^V]
з	~[,ZE^R]
и	~[,N^5]
й	~[,SII^V]
к	~[,KA^S]
л	~[,EL^S]
м	~[,EM^V]
н	~[,EN^R]
о	~[,O^11]
п	~[,PE^R]
р	~[,ER^F]
с	~[,ES^S]
т	~[,TE^V]
у	~[,U^7]
ф	~[,EF^10]
х	~[,KHA^V]
ц	~[,TSE^V]
ч	~[,CHE^S]
ш	~[,SHA^V]
щ	~[,SHC]
ъ	~[,SIG^S]
ы	~[,YER^V]
ь	~[,SSI^V]
э	~[,E^21]
ю	~[,IU^R]
я	~[,IA^V]
ё	~[,BE^F][,IO^V][,..E^V]
฿	~[,BI^R][,BAH]
–	~[,E^5]
—	~[,EE^5]
‖	~[,RI^F]
‘	~[,,^5][,']
’	~[,,^6][,'^V][,''^F]
“	~[,,^8][''][,'']
”	~[,V^8][,,^9]['''][,,V^V][,''^V]
‥	~[..^V]
…	~[...]
‧	~['^R][,.^V]
‰	~[,OPO^R]
′	~[,'^S]
″	~[,PP^S][,RP^R]
‵	~[,'^R]
※	~[,XF]
₠	~[,CE^V][,EUR^V]
₡	~[,CM^V][,COL]
₢	~[,CR^V][,CRU]
₣	~[,FR][,FRA]
₤	~[,LR^R][,LIR]
₥	~[,MP][,MIL^V]
₦	~[,NR][,NAI]
₧	~[,PE][,PES][,PTS]
₨	~[,RS^V][,RES][,RUP]
₩	~[,WR][,WON]
₪	~[,NU][,SHE]
₫	~[,DR^S][,DON][,EDE]
€	~[,CR][,EUR]
₭	~[,KE][,KIP]
₮	~[,TM][,TPP][,TUG]
₯	~[,DP^V][,DRA]
℀	~[,APC]
℁	~[,APS]
ℂ	~[,CC^V][,CI^S]
℃	~[,OC^5]
℄	~[,CL][,LC]
℅	~[,CPO]
℆	~[,CPU]
℉	~[,OF^5]
№	~[,NO][,NOE][,NO.]
℡	~[,TEL]
⅓	~[,EPS]
⅔	~[,RPS]
⅕	~[,EPW]
⅖	~[,RPW]
⅗	~[,SPW]
⅘	~[,FPW]
⅙	~[,EPL]
⅚	~[,WPL]
⅛	~[,EPB]
⅜	~[,SPB]
⅝	~[,WPB]
⅞	~[,CPB]
⅟	~[,EP]
Ⅰ	~[,E^V]
Ⅱ	~[,R^V]
Ⅲ	~[,S^V]
Ⅳ	~[,F^V]
Ⅴ	~[,W^V]
Ⅵ	~[,L^V]
Ⅶ	~[,C^V]
Ⅷ	~[,B^V]
Ⅸ	~[,K^V]
Ⅹ	~[,X^11][,J]
Ⅺ	~[,JE^V]
Ⅻ	~[,JR]
ⅰ	~[,E^8]
ⅱ	~[,R^8]
ⅲ	~[,S^7]
ⅳ	~[,F^F]
ⅴ	~[,W^5]
ⅵ	~[,L^8]
ⅶ	~[,C^S]
ⅷ	~[,B^5]
ⅸ	~[V[^V][,K^F]
ⅹ	~[,J^5][V]^V]
ⅺ	~[,JE^R]
ⅻ	~[,JR^V]
ↀ	~[,OI^R]
ↁ	~[,DC^V]
ↂ	~[,OCI][,OCJ][,OIO][,OOI]
←	~[,Z^F][,ZE]
↑	~[,Z^R][,ZI]
→	~[,Z^S][,EZ]
↓	~[,Z^V][,IZ]
↔	~[,ZEZ]
↖	~[,Z^8][,ZN]
↗	~[,Z^7][,ZP]
↘	~[,Z^5][,NZ]
↙	~[,Z^6][,PZ]
↚	~[,ZX]
↛	~[,XZ]
