㐀	~[FFE;][RE;][REE;][YZE;]
㐁	~[EOB;][TOB;]
㐂	~[CCC;]
㐃	~[BTI;][OII;][SII;][SNI;]
㐄	~[,FI;][,SJ;][FIJ;][SJ;]
㐅	~[,XX;][XX;]
㐆	~[FEY;][PDN;][PDY;]
㐇	~[KZL;][KZZ;]
㐈	~[BZL;][BZZ;]
㐉	~[TZL;][TZZ;]
㐊	~[YZL;][YZZ;]
㐋	~[YZL;][YZZ;]
㐌	~[VAL;]
㐍	~[EZL;][EZZ;]
㐎	~[WZL;][WZZ;]
㐏	~[WZL;][WZZ;]
㐐	~[GUZ;]
㐑	~[PBZ;]
㐒	~[DOZ;]
㐓	~[TOZ;]
㐔	~[LOZ;][LZL;][LZZ;]
㐕	~[IQZ;]
㐖	~[YOL;]
㐗	~[YPFZ;]
㐘	~[MZL;][MZZ;]
㐙	~[DZL;][DZZ;]
㐚	~[WOZ;]
㐛	~[PXOZ;]
㐜	~[AJWK;][NKL;][NKX;][NKZ;]
㐝	~[JNOZ;]
㐞	~[KBZ;]
㐟	~[RSSZ;]
㐠	~[EZLZ;]
㐡	~[KRD;][KTND;]
㐢	~[WEZZ;]
㐣	~[LCZ;]
㐤	~[KJB;][KJMB;]
㐥	~[AMDZ;]
㐦	~[EHZ;]
㐧	~[AJP;][AUP;][BJJ;][YLP;][YYP;]
㐨	~[UUI;]
㐩	~[JJJ;]
㐪	~[DUI;][EEN;][JEN;][JUB;]
㐫	~[,LXU;][,WU;][LUX;][LXU;][WUI;]
㐬	~[TSL;]
㐭	~[LOO;]
㐮	~[LBJK;][LJK;]
㐯	~[LOHD;][LOOD;]
㐰	~[POO;]
㐱	~[BMP;]
㐲	~[PDN;]
㐳	~[PER;]
㐴	~[PCA;]
㐵	~[PUJ;]
㐶	~[PFL;][POL;]
㐷	~[PMF;][PME;]
㐸	~[PIN;]
㐹	~[PKL;][PKZ;]
㐺	~[MRB;][PPB;]
㐻	~[PNB;]
㐼	~[PXJ;]
㐽	~[PRX;]
㐾	~[PRR;]
㐿	~[PHJ;]
㑀	~[PDA;]
㑁	~[PEE;][PEU;]
㑂	~[PEN;][PENB;][PTNB;]
㑃	~[PWD;]
㑄	~[POM;][POX;]
㑅	~[PPE;][PVF;]
㑆	~[POR;]
㑇	~[PNE;]
㑈	~[PCS;][PJQS;][PTS;][PXT;]
㑉	~[PRD;]
㑊	~[PLF;]
㑋	~[PFO;][PROR;]
㑌	~[PFK;]
㑍	~[PLN;]
㑎	~[PSE;]
㑏	~[PNA;]
㑐	~[PFS;]
㑑	~[PPM;][PPO;]
㑒	~[ACN;][BEC;][BECN;]
㑓	~[PUXU;][PUXX;]
㑔	~[PTA;][PTMB;][PTNB;]
㑕	~[PEC;]
㑖	~[PPC;]
㑗	~[PSX;]
㑘	~[PAQR;]
㑙	~[PERL;][PRL;]
㑚	~[PEB;]
㑛	~[PJCS;][PVS;]
㑜	~[PJK;]
㑝	~[PKR;]
㑞	~[PFR;]
㑟	~[PKEB;][PPOB;]
㑠	~[PRUY;]
㑡	~[PDUP;][PGI;]
㑢	~[PYUP;]
㑣	~[PTT;]
㑤	~[PRQ;]
㑥	~[PDNM;][PEP;]
㑦	~[PFAD;]
㑧	~[PHZ;]
㑨	~[POVD;]
㑩	~[PFC;]
㑪	~[PWH;]
㑫	~[PAYH;]
㑬	~[PGJO;]
㑭	~[PQER;]
㑮	~[PNC;]
㑯	~[PTA;][PTMB;]
㑰	~[PCEQ;][PEQ;]
㑱	~[PMT;]
㑲	~[PJNG;][PNJ;]
㑳	~[PNEE;]
㑴	~[PENU;][PEU;]
㑵	~[PLBD;]
㑶	~[PKM;]
㑷	~[PUL;][PUUF;]
㑸	~[PJOO;]
㑹	~[AD;][ADO;][AIQD;][AQD;][BTQD;]
㑺	~[PVR;]
㑻	~[PNHE;]
㑼	~[PQPO;]
㑽	~[PSNY;]
㑾	~[PEI;][PNBI;][PUI;]
㑿	~[PSQT;]
㒀	~[PLNO;][PXO;]
㒁	~[POY;][POYG;]
㒂	~[PRH;][PRYD;]
㒃	~[PAXB;]
㒄	~[PEAF;][PJF;][PNBF;][PUAF;]
㒅	~[PLCK;]
㒆	~[PAOE;]
㒇	~[PVFF;]
㒈	~[PIRP;][PTRP;]
㒉	~[PSNT;]
㒊	~[PDAZ;]
㒋	~[PKBK;]
㒌	~[PFFR;]
㒍	~[PUUS;]
㒎	~[PEDS;][PGNS;][PPDS;]
㒏	~[PNJB;]
㒐	~[PZND;]
㒑	~[PFWV;]
㒒	~[PFEL;][PFET;][PFS;]
㒓	~[PYBW;][PYW;]
㒔	~[PFNC;]
㒕	~[PLWV;]
㒖	~[PRQU;]
㒗	~[PGNP;][PKNP;][PRRP;]
㒘	~[PRUL;]
㒙	~[PSP;][PSPN;][PWSN;]
㒚	~[PEIH;]
㒛	~[PEEV;]
㒜	~[PEA;]
㒝	~[PRFA;][PRFB;]
㒞	~[PEVM;][PEVU;]
㒟	~[PLMK;]
㒠	~[PZCE;]
㒡	~[PEWS;][PUUS;][PUWS;]
㒢	~[PAOM;]
㒣	~[PLPH;]
㒤	~[PRRR;]
㒥	~[PFD;][PFFD;]
㒦	~[PQQY;]
㒧	~[PLV;][PLXV;][PWUV;]
㒨	~[PEPL;][PGPL;][PGPP;][PPNL;][PPNP;][PPOL;][PPOP;]
㒩	~[PCEC;][PEQC;]
㒪	~[BRRQ;]
㒫	~[ERL;]
㒬	~[RRK;]
㒭	~[OROR;]
㒮	~[RREQ;]
㒯	~[SERA;][SERJ;][SERQ;]
㒰	~[ALE;][BIE;]
㒱	~[BCA;]
㒲	~[BDO;]
㒳	~[MBB;][NBB;][NBBI;][NBIB;][NIBB;]
㒴	~[BEE;][BEU;]
㒵	~[PDB;]
㒶	~[BPD;]
㒷	~[NBEB;][OBB;]
㒸	~[BEQ;]
㒹	~[JBJB;][JMEB;][JMLB;]
㒺	~[NBEB;][NBEL;][NBFB;]
㒻	~[DMR;]
㒼	~[RNBB;]
㒽	~[DBNP;][DPL;]
㒾	~[DFVA;]
㒿	~[DLV;][DLXV;][DWUV;]
㓀	~[NPA;]
㓁	~[,NB;][,NR;][NBA;][NRL;]
㓂	~[NRRG;]
㓃	~[NIG;]
㓄	~[UMK;][UMNR;][UUUK;][UUUR;]
㓅	~[BTI;]
㓆	~[BBF;]
㓇	~[BGN;][BPD;]
㓈	~[BLO;]
㓉	~[BGO;]
㓊	~[BNEO;]
㓋	~[BRB;]
㓌	~[BBK;]
㓍	~[BTL;][BTR;]
㓎	~[BENU;][BRX;]
㓏	~[BNBO;][BNRO;]
㓐	~[BYBY;][BYE;][BYRY;]
㓑	~[BYBG;][BYJ;]
㓒	~[BCBF;]
㓓	~[BJNG;][BNJ;]
㓔	~[BSA;]
㓕	~[BAQF;]
㓖	~[BQJ;][BQJQ;][BQRJ;]
㓗	~[BFDS;][BHDS;]
㓘	~[RDAK;][RDK;][REUK;]
㓙	~[UWX;][WUI;]
㓚	~[IRI;]
㓛	~[IDP;]
㓜	~[WDP;]
㓝	~[JRI;]
㓞	~[FDP;]
㓟	~[PRI;]
㓠	~[ZOR;]
㓡	~[WUR;]
㓢	~[POR;]
㓣	~[AOR;]
㓤	~[YOR;]
㓥	~[SER;]
㓦	~[TDR;]
㓧	~[AYOR;]
㓨	~[GRI;]
㓩	~[NRI;]
㓪	~[ADP;][ADUD;]
㓫	~[DKR;]
㓬	~[BNDR;]
㓭	~[DNBR;][DNLR;][DRI;]
㓮	~[NRI;][NYOR;]
㓯	~[SQR;]
㓰	~[EIQR;][UEIR;]
㓱	~[ARI;][AURR;]
㓲	~[FMR;]
㓳	~[DEZR;][JRI;]
㓴	~[RDR;][TNRR;]
㓵	~[OORR;][ORI;]
㓶	~[FDDR;][HDDR;]
㓷	~[PMTR;]
㓸	~[OOOR;][OOR;]
㓹	~[LFFR;]
㓺	~[ZWR;]
㓻	~[FEZR;]
㓼	~[TBWR;][TWR;]
㓽	~[ENRR;][ENSR;]
㓾	~[CWSR;]
㓿	~[HBWR;]
㔀	~[DLOR;][DLSR;]
㔁	~[BRI;][JDR;]
㔂	~[MCR;][MCSR;]
㔃	~[SDCD;][SNCD;]
㔄	~[CMR;]
㔅	~[EHR;]
㔆	~[KKDR;]
㔇	~[FRI;][JQRR;]
㔈	~[RRSR;]
㔉	~[CPCR;]
㔊	~[LOOR;]
㔋	~[RFR;][RVAR;][RVER;]
